rank,tier,tic,ra,dec,tmag,teff,logg,rad,rad_err,mass,rho,lumclass,contratio,gaia_dr2,n_sectors,sectors,pred_cdpp_1h_ppm,pred_rmin_p1_rearth,pred_rmin_p5_rearth,pred_rmin_p10_rearth,reason
1,1,29780677,65.0526829043216,-70.099522068918,13.2324,2849.0,5.20942,0.137092,0.00408387,0.111015,43.0869,DWARF,0.00260365056,4654435618927743872,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2343,0.54,0.72,0.81,"late M dwarf, R 0.14 R_sun, Teff 2849 K, Tmag 13.23; 26 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 0.7 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2,1,232607684,258.536352597988,60.7916421748491,13.6157,2862.0,5.20616,0.138214,0.00407858,0.111995,42.4173,DWARF,0.012341246,1437609842705737088,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2940,0.62,0.82,0.93,"late M dwarf, R 0.14 R_sun, Teff 2862 K, Tmag 13.62; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 0.8 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
3,1,220429097,72.9055650497195,-58.3144561359275,14.0127,2809.0,5.249,0.123994,0.003665,0.0994794,52.1833,DWARF,0.0200478267,4774420478143249536,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3856,0.64,0.84,0.95,"late M dwarf, R 0.12 R_sun, Teff 2809 K, Tmag 14.01; 26 TGLC sectors (S1-S39); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 0.8 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
4,1,38698751,66.3779118532966,-63.9300112899779,13.4923,2906.0,5.15728,0.156245,0.00473972,0.127887,33.528,DWARF,0.00121816387,4675599087458814464,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2723,0.65,0.86,0.97,"late M dwarf, R 0.16 R_sun, Teff 2906 K, Tmag 13.49; 26 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
5,1,424389265,281.222872438476,74.1487646077387,13.1488,2976.0,5.11622,0.173695,0.00523421,0.143789,27.4387,DWARF,0.0234442819,2268003149041626240,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2240,0.66,0.87,0.98,"late M dwarf, R 0.17 R_sun, Teff 2976 K, Tmag 13.15; 24 TGLC sectors (S14-S55); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
6,1,229644973,280.005446401091,72.6821165000803,13.2699,2815.0,5.12386,0.170257,0.00529165,0.140607,28.49,DWARF,0.0398320071,2266317803873109504,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2392,0.67,0.89,1.0,"late M dwarf, R 0.17 R_sun, Teff 2815 K, Tmag 13.27; 24 TGLC sectors (S14-S55); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
7,1,219773818,263.311581468473,63.2077449757964,13.1144,2994.0,5.09725,0.182645,0.00545298,0.152195,24.9791,DWARF,0.00132526772,1440197680761004288,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2200,0.68,0.9,1.02,"late M dwarf, R 0.18 R_sun, Teff 2994 K, Tmag 13.11; 24 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
8,1,167525513,100.401295055087,-62.562973693461,13.3162,2967.0,5.11579,0.173891,0.00525882,0.143972,27.3808,DWARF,0.0741963,5478730243502292736,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2455,0.68,0.9,1.01,"late M dwarf, R 0.17 R_sun, Teff 2967 K, Tmag 13.32; 26 TGLC sectors (S1-S39); contamination 0.07 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
9,1,278199738,110.998326707728,-80.2549072092304,13.3978,2828.0,5.23645,0.12808,0.00378416,0.10312,49.0794,DWARF,0.005003294,5207997014358306816,10,4 7 11 12 13 27 34 37 38 39,2573,0.68,0.9,1.01,"late M dwarf, R 0.13 R_sun, Teff 2828 K, Tmag 13.40; 10 TGLC sectors (S4-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
10,1,232626766,268.889208722417,58.4076425996467,13.944,2828.0,5.21498,0.135201,0.00397046,0.109364,44.2522,DWARF,0.0494304337,1421971866781082112,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3669,0.68,0.9,1.02,"late M dwarf, R 0.14 R_sun, Teff 2828 K, Tmag 13.94; 24 TGLC sectors (S14-S55); contamination 0.05 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
11,1,229647609,280.24492620371,75.9665119782991,13.754,2876.0,5.15987,0.155221,0.00460454,0.126972,33.9513,DWARF,0.0192475729,2268636673897630592,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3218,0.72,0.95,1.07,"late M dwarf, R 0.16 R_sun, Teff 2876 K, Tmag 13.75; 24 TGLC sectors (S14-S55); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 0.9 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
12,1,349645035,112.167065991224,-61.3448152886211,13.2698,3202.0,5.07934,0.19169,0.0058082,0.160869,22.8388,DWARF,0.0206039324,5292192976249272832,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2392,0.73,0.96,1.08,"late M dwarf, R 0.19 R_sun, Teff 3202 K, Tmag 13.27; 26 TGLC sectors (S1-S39); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
13,1,141154638,80.9599112873409,-76.9770227319633,14.0025,2877.0,5.18065,0.147307,0.00442434,0.119959,37.5286,DWARF,0.00744229555,4624065321061824512,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3827,0.74,0.97,1.1,"late M dwarf, R 0.15 R_sun, Teff 2877 K, Tmag 14.00; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
14,1,235711434,252.779214085252,78.1548665721799,13.5464,2879.0,5.14236,0.162308,0.00487938,0.133343,31.1853,DWARF,0.00487353234,1705877279585273472,19,14 15 18 19 20 21 22 24 25 26 40 41 47 48 49 51 52 53 55,2815,0.74,0.98,1.1,"late M dwarf, R 0.16 R_sun, Teff 2879 K, Tmag 13.55; 19 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
15,1,230050730,292.100973191384,62.5995548190281,13.1011,3279.0,5.05628,0.204274,0.00603213,0.173236,20.3235,DWARF,0.004597672,2240257866468499968,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2185,0.75,0.99,1.12,"late M dwarf, R 0.20 R_sun, Teff 3279 K, Tmag 13.10; 24 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
16,1,320524973,264.971643989763,55.5463436471931,14.4588,2811.0,5.26533,0.118606,0.00348062,0.0945104,56.6447,DWARF,0.0896324,1421042126620559104,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,5462,0.75,0.99,1.11,"late M dwarf, R 0.12 R_sun, Teff 2811 K, Tmag 14.46; 24 TGLC sectors (S14-S55); contamination 0.09 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
17,1,316976049,55.7391624422429,-64.1323466585742,13.0303,3113.0,5.13049,0.167348,0.00505366,0.137933,29.4311,DWARF,0.000302017375,4672963867324468608,11,1 2 3 4 7 11 28 29 30 31 34,2107,0.76,1.0,1.12,"late M dwarf, R 0.17 R_sun, Teff 3113 K, Tmag 13.03; 11 TGLC sectors (S1-S34); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
18,1,219869957,259.600812233165,68.0424684935405,14.0527,2899.0,5.18472,0.145814,0.00437754,0.118646,38.2697,DWARF,0.00422972767,1637446836968370176,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3971,0.76,1.0,1.13,"late M dwarf, R 0.15 R_sun, Teff 2899 K, Tmag 14.05; 24 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
19,1,220407807,70.2312673921888,-58.9152479471214,14.0714,2899.0,5.17898,0.147927,0.00439324,0.120505,37.2274,DWARF,0.0244045965,4774146871547078016,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,4026,0.76,1.0,1.13,"late M dwarf, R 0.15 R_sun, Teff 2899 K, Tmag 14.07; 26 TGLC sectors (S1-S39); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
20,1,271642286,109.402406218187,-75.0616103284982,13.4599,3092.0,5.08423,0.189163,0.00573273,0.158428,23.4058,DWARF,0.008051681,5214428779423909632,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2670,0.76,1.01,1.13,"late M dwarf, R 0.19 R_sun, Teff 3092 K, Tmag 13.46; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
21,1,25153167,63.075106365767,-70.1663066073974,13.5675,3036.0,5.09724,0.182652,0.00555118,0.152202,24.9774,DWARF,0.002743851,4666339584644332160,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2852,0.76,1.01,1.14,"late M dwarf, R 0.18 R_sun, Teff 3036 K, Tmag 13.57; 26 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
22,1,367681716,247.13813281204,72.8958150479439,13.0851,3285.0,5.0445,0.211143,0.00637501,0.18013,19.1362,DWARF,0.000173820139,1654582313370246400,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2167,0.77,1.02,1.14,"late M dwarf, R 0.21 R_sun, Teff 3285 K, Tmag 13.09; 24 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
23,1,364424010,69.7098293158182,-76.7037598797458,13.2603,3107.0,5.0523,0.206559,0.00626217,0.175519,19.9155,DWARF,0.006400986,4628012911403363584,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2379,0.78,1.02,1.15,"late M dwarf, R 0.21 R_sun, Teff 3107 K, Tmag 13.26; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
24,1,219855010,256.768846017504,67.1612802966079,13.266,3012.0,5.06446,0.199683,0.00600878,0.168685,21.1862,DWARF,0.0026504742,1635873435829345536,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2387,0.77,1.02,1.14,"late M dwarf, R 0.20 R_sun, Teff 3012 K, Tmag 13.27; 24 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
25,1,229440959,293.492096123147,62.8312446023116,14.1741,2912.0,5.19739,0.141273,0.00425634,0.114667,40.6688,DWARF,0.075086236,2241732826959314816,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,4350,0.77,1.02,1.15,"late M dwarf, R 0.14 R_sun, Teff 2912 K, Tmag 14.17; 24 TGLC sectors (S14-S55); contamination 0.08 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
26,1,290777240,84.9293078409184,-53.4063530330229,13.0976,3095.0,5.09892,0.181833,0.00542665,0.151425,25.1872,DWARF,0.00348978327,4768848634250149504,14,1 4 5 6 7 10 11 27 30 31 32 33 34 37,2181,0.78,1.03,1.16,"late M dwarf, R 0.18 R_sun, Teff 3095 K, Tmag 13.10; 14 TGLC sectors (S1-S37); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
27,1,230090756,247.674526673004,70.1552672432203,13.3083,3042.0,5.06519,0.19928,0.00588286,0.168288,21.2648,DWARF,0.0110461516,1649949658565789056,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,2444,0.78,1.03,1.16,"late M dwarf, R 0.20 R_sun, Teff 3042 K, Tmag 13.31; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
28,1,349306411,109.414235702267,-61.525624485546,13.3863,3130.0,5.06498,0.199399,0.00596081,0.168405,21.2415,DWARF,0.03781034,5292870653369334656,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2556,0.78,1.03,1.16,"late M dwarf, R 0.20 R_sun, Teff 3130 K, Tmag 13.39; 26 TGLC sectors (S1-S39); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
29,1,32050414,57.179278216732,-68.6023480656196,13.9665,2866.0,5.1854,0.145566,0.00434321,0.118428,38.395,DWARF,0.00332686258,4667501596636209792,18,1 2 3 4 6 7 10 11 13 27 28 29 30 31 33 34 36 37,3729,0.79,1.04,1.17,"late M dwarf, R 0.15 R_sun, Teff 2866 K, Tmag 13.97; 18 TGLC sectors (S1-S37); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
30,1,33880418,66.46423437009,-74.1206844268343,13.5144,3120.0,5.0722,0.195471,0.00588098,0.164549,22.0317,DWARF,0.0101381717,4628555726549949056,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,2760,0.8,1.05,1.18,"late M dwarf, R 0.20 R_sun, Teff 3120 K, Tmag 13.51; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.1 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
31,1,233049114,268.731218189745,65.7608677683048,13.6821,3174.0,5.10404,0.179373,0.0053238,0.149102,25.8352,DWARF,0.0100000687,1441117181719117184,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3069,0.8,1.05,1.18,"late M dwarf, R 0.18 R_sun, Teff 3174 K, Tmag 13.68; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 1.1 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
32,1,141407088,83.7326583703203,-72.5492856357759,13.7345,2874.0,5.10126,0.180703,0.00554811,0.150357,25.4817,DWARF,0.0857704,4650888079044709376,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3176,0.8,1.05,1.19,"late M dwarf, R 0.18 R_sun, Teff 2874 K, Tmag 13.73; 26 TGLC sectors (S1-S39); contamination 0.09 (low); not a TOI, CTOI, confirmed host or known EB; a 1.1 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
33,1,35025268,48.5519522543735,28.67765485286,13.0239,2853.0,5.21834,0.134069,0.00395121,0.108376,44.9726,DWARF,0.00132421032,121843656638575872,4,18 42 43 44,2101,0.8,1.06,1.2,"late M dwarf, R 0.13 R_sun, Teff 2853 K, Tmag 13.02; 4 TGLC sectors (S18-S44); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.1 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
34,1,329291443,269.398503571603,50.4244965637078,13.1657,2963.0,5.12978,0.16766,0.00504668,0.138219,29.3278,DWARF,0.000620367646,1364505238720496256,10,14 21 25 26 40 41 51 52 53 54,2260,0.8,1.06,1.19,"late M dwarf, R 0.17 R_sun, Teff 2963 K, Tmag 13.17; 10 TGLC sectors (S14-S54); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 1.1 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
